GeographyCode,all,bed1,bed2,bed3,bed4,bed5
E06000001,40434,3569,11892,18480,4939,1554
E06000002,57203,5206,14732,29091,6481,1693
E06000003,59605,4897,16063,29517,7498,1630
E06000004,79159,6245,18247,38469,13163,3035
E06000005,46670,4345,15645,19090,5982,1608
E06000006,53312,4488,12677,27937,7024,1186
E06000007,85140,7837,20122,39931,13967,3283
E06000008,57353,5241,19375,23943,7000,1794
E06000009,64367,10716,16923,28763,6259,1706
E06000010,112596,14722,38765,47796,8734,2579
E06000011,143032,9485,39755,59950,26244,7598
E06000012,69707,6557,15070,38069,8396,1615
E06000013,70684,4937,15569,37869,9938,2371
E06000014,83552,8920,26187,30774,13459,4212
E06000015,102271,10865,29338,46230,12385,3453
E06000016,123125,19493,32226,55060,11517,4829
E06000017,15002,842,3109,6116,3528,1407
E06000018,126131,19190,36774,55498,9808,4861
E06000019,78319,7153,18728,33037,14304,5097
E06000020,66608,4794,15808,31341,12134,2531
E06000021,107575,10024,42163,46668,7177,1543
E06000022,73515,9470,17491,28928,12723,4903
E06000023,182747,30587,50959,74690,18012,8499
E06000024,88227,8803,22920,33659,18064,4781
E06000025,107538,8350,22619,50653,21255,4661
E06000026,109307,16753,32354,44818,11257,4125
E06000027,59010,8886,18626,21802,7334,2362
E06000028,82374,17408,29470,22206,9385,3905
E06000029,63530,6852,19879,24185,10081,2533
E06000030,88360,9700,24212,38053,13406,2989
E06000031,74023,8722,17979,32433,11875,3014
E06000032,74293,10299,18614,35579,7521,2280
E06000033,74678,13062,22189,26753,10060,2614
E06000034,62353,7350,16117,30699,6719,1468
E06000035,106209,10807,26993,51968,13277,3164
E06000036,45878,5306,10949,17612,9700,2311
E06000037,62340,5814,13946,24660,13322,4598
E06000038,62869,10145,18285,24063,7356,3020
E06000039,50766,10058,14157,19819,5119,1613
E06000040,58349,6448,14064,20887,11922,5028
E06000041,60332,4092,11260,22503,17390,5087
E06000042,98584,11232,24334,39901,18155,4962
E06000043,121540,31963,39169,32461,12970,4977
E06000044,85473,13336,24941,35700,8416,3080
E06000045,98254,20528,28656,36506,8676,3888
E06000046,61085,6420,20293,24525,7420,2427
E06000047,223803,14222,75824,99941,27295,6521
E06000048,138534,10992,40698,59864,20701,6279
E06000049,159441,11660,42285,63855,31899,9742
E06000050,141442,10154,33370,66252,24750,6916
E06000051,129674,9900,32547,56371,23108,7748
E06000052,230389,21103,67553,95823,34468,11442
E06000053,989,173,295,335,134,52
E06000054,194194,14511,47905,79963,39187,12628
E06000055,63812,7539,13623,27343,11388,3919
E06000056,104399,8579,25163,45587,20085,4985
E07000004,69406,6610,16532,27257,14150,4857
E07000005,36946,2591,7949,12678,9281,4447
E07000006,26514,2207,5733,9175,5351,4048
E07000007,67861,7520,14610,27940,13311,4480
E07000008,46714,9054,12379,16141,6029,3111
E07000009,34614,2562,9103,13887,6918,2144
E07000010,40620,3571,12655,17338,5610,1446
E07000011,69333,5302,14842,28602,16831,3756
E07000012,59960,4025,13617,22290,14815,5213
E07000026,42345,2166,11801,20272,6036,2070
E07000027,31224,2491,10898,14080,2981,774
E07000028,48342,3700,15751,20575,6451,1865
E07000029,30536,1250,7952,15809,4214,1311
E07000030,23043,1369,5676,10216,4345,1437
E07000031,46552,3496,13012,19870,7493,2681
E07000032,52596,3328,16182,23950,7293,1843
